team,league,matches_played,avg_yellows_per_game,avg_reds_per_game,avg_fouls_per_game,yellow_trend,aggression_index,home_yellow_avg,away_yellow_avg,away_card_premium,last_match_date,days_since_last,matches_last_21d,matches_last_7d
Regensburg,Bundesliga2,238.0,2.378,0.088,14.622,-0.2852,0.515,2.311,2.445,0.134,2025-05-18,378,0,0
Reggiana,SerieB,151.0,2.563,0.126,15.166,-0.1416,0.5759,2.539,2.587,0.047,2026-05-08,23,0,0
Reggina,SerieB,265.0,2.543,0.143,17.355,-0.1743,0.6997,2.409,2.677,0.268,2023-05-19,1108,0,0
Reims,Ligue2,434.0,1.887,0.138,13.161,0.0598,0.3937,1.802,1.972,0.171,2026-05-09,22,0,0
Rennes,Ligue1,700.0,1.617,0.107,13.463,-0.0106,0.3719,1.566,1.669,0.103,2026-05-17,14,2,0
Reus Deportiu,Segunda,63.0,2.0,0.048,13.794,0.05,0.4161,1.875,2.129,0.254,2019-06-08,2549,0,0
Reutlingen,Bundesliga2,48.0,1.667,0.083,15.042,0.14,0.4581,1.577,1.773,0.196,2003-03-26,8467,0,0
Rimini,SerieB,,,,,,,,,,2009-05-30,6210,0,0
Rodez,Ligue2,247.0,1.891,0.105,13.737,0.0578,0.4168,1.815,1.967,0.153,2026-05-09,22,0,0
Roma,SerieA,795.0,2.162,0.132,13.764,-0.26,0.4557,1.962,2.363,0.4,2026-05-24,7,3,1
Ross County,ScottishPrem,448.0,1.922,0.096,12.016,-0.2715,0.3225,1.77,2.071,0.301,2025-05-18,378,0,0
Rotherham,Championship,488.0,1.641,0.074,12.246,-0.0252,0.298,1.537,1.748,0.211,2024-05-04,757,0,0
Rouen,Ligue2,,,,,,,,,,2003-08-02,8338,0,0
Saarbrucken,Bundesliga2,50.0,2.18,0.24,16.36,-0.3578,0.6312,2.083,2.269,0.186,2006-05-14,7322,0,0
Sabadell,Segunda,42.0,2.262,0.143,15.238,-0.2484,0.5513,2.762,1.762,-1.0,2021-05-30,1827,0,0
Salamanca,Segunda,,,,,,,,,,2011-06-04,5475,0,0
Salernitana,SerieB,305.0,2.452,0.121,14.718,-0.3884,0.5377,2.309,2.595,0.286,2025-05-13,383,0,0
Sampdoria,SerieB,759.0,2.404,0.138,15.401,-0.0435,0.5748,2.338,2.471,0.133,2026-05-08,23,0,0
Sandhausen,Bundesliga2,204.0,2.417,0.069,14.642,-0.0483,0.5149,2.461,2.373,-0.088,2023-05-28,1099,0,0
Santander,Segunda,475.0,2.733,0.208,16.425,0.0612,0.6872,2.532,2.933,0.401,2026-05-24,7,3,1
Sassuolo,SerieA,494.0,2.306,0.128,13.075,-0.1326,0.4322,2.239,2.372,0.134,2026-05-24,7,2,1
Schalke 04,Bundesliga2,840.0,1.973,0.085,15.461,-0.1889,0.5155,1.778,2.166,0.388,2026-05-17,14,1,0
Schweinfurt,Bundesliga2,34.0,2.088,0.088,15.824,-0.0901,0.5494,1.765,2.412,0.647,2002-05-05,8792,0,0
Scunthorpe,Championship,138.0,1.399,0.145,11.761,0.001,0.264,1.493,1.304,-0.188,2011-05-07,5503,0,0
Sedan,Ligue2,,,,,,,,,,2013-05-24,4755,0,0
Sete,Ligue2,,,,,,,,,,2006-05-12,7324,0,0
Sevilla,LaLiga,798.0,2.67,0.182,14.548,0.086,0.569,2.574,2.767,0.193,2026-05-23,8,3,0
Sevilla B,Segunda,42.0,2.786,0.214,14.952,-0.1385,0.6132,2.714,2.857,0.143,2018-06-01,2921,0,0
Sheffield United,Championship,874.0,1.701,0.094,11.953,0.2931,0.294,1.566,1.837,0.271,2026-05-02,29,0,0
Sheffield Weds,Championship,917.0,1.659,0.088,12.201,0.0249,0.3015,1.443,1.875,0.432,2026-05-02,29,0,0
Siegen,Bundesliga2,,,,,,,,,,2006-05-14,7322,0,0
Siena,SerieB,265.0,2.226,0.14,18.242,0.0331,0.7126,2.06,2.394,0.334,2014-05-30,4384,0,0
Sochaux,Ligue2,446.0,1.729,0.117,14.774,0.0412,0.4594,1.596,1.861,0.265,2023-06-02,1094,0,0
Sociedad,LaLiga,684.0,2.193,0.095,13.959,0.4136,0.4597,2.105,2.281,0.175,2026-05-23,8,3,0
Sociedad B,Segunda,83.0,2.602,0.108,13.614,0.1144,0.4896,2.78,2.429,-0.352,2026-05-24,7,3,1
Southampton,Championship,959.0,1.509,0.067,11.587,0.0604,0.245,1.345,1.674,0.329,2026-05-02,29,0,0
