date,match,league,outcome,odds,stake,won,pnl,cumulative_pnl,bankroll
2026-01-31,Sheffield Weds vs Wrexham,Championship,H,6.25,0.0,0,-0.0,-1000.0,0.0
2026-02-01,Padova vs Monza,SerieB,H,4.33,0.0,0,-0.0,-1000.0,0.0
2026-02-01,Huesca vs Cadiz,Segunda,A,3.25,0.0,0,-0.0,-1000.0,0.0
2026-02-01,Castellon vs Andorra,Segunda,D,4.5,0.0,0,-0.0,-1000.0,0.0
2026-02-01,Castellon vs Andorra,Segunda,A,6.5,0.0,0,-0.0,-1000.0,0.0
2026-02-01,Man United vs Fulham,EPL,D,4.5,0.0,0,-0.0,-1000.0,0.0
2026-02-01,Aston Villa vs Brentford,EPL,H,2.1,0.0,0,-0.0,-1000.0,0.0
2026-02-01,Man United vs Fulham,EPL,A,5.0,0.0,0,-0.0,-1000.0,0.0
2026-02-01,Reggiana vs Juve Stabia,SerieB,H,3.4,0.0,0,-0.0,-1000.0,0.0
2026-02-01,Getafe vs Celta,LaLiga,A,2.8,0.0,0,-0.0,-1000.0,0.0
2026-02-01,Parma vs Juventus,SerieA,H,7.5,0.0,0,-0.0,-1000.0,0.0
2026-02-01,Toulouse vs Auxerre,Ligue1,H,1.75,0.0,0,-0.0,-1000.0,0.0
2026-02-02,Sunderland vs Burnley,EPL,A,4.75,0.0,0,-0.0,-1000.0,0.0
2026-02-03,Hull vs Watford,Championship,H,2.15,0.0,0,-0.0,-1000.0,0.0
2026-02-03,Blackburn vs Sheffield Weds,Championship,D,5.0,0.0,0,-0.0,-1000.0,0.0
2026-02-03,Blackburn vs Sheffield Weds,Championship,A,8.5,0.0,0,-0.0,-1000.0,0.0
2026-02-03,St Mirren vs Hearts,ScottishPrem,A,1.86,0.0,0,-0.0,-1000.0,0.0
2026-02-03,Sheffield United vs Oxford,Championship,D,4.5,0.0,0,-0.0,-1000.0,0.0
2026-02-03,Sheffield United vs Oxford,Championship,A,8.5,0.0,0,-0.0,-1000.0,0.0
2026-02-04,Rangers vs Kilmarnock,ScottishPrem,H,1.27,0.0,1,0.0,-1000.0,0.0
2026-02-06,Greuther Furth vs Magdeburg,Bundesliga2,H,3.9,0.0,0,-0.0,-1000.0,0.0
2026-02-06,Reims vs Bastia,Ligue2,H,1.67,0.0,0,-0.0,-1000.0,0.0
2026-02-06,Union Berlin vs Ein Frankfurt,Bundesliga,A,3.6,0.0,0,-0.0,-1000.0,0.0
2026-02-06,Verona vs Pisa,SerieA,H,2.55,0.0,0,-0.0,-1000.0,0.0
2026-02-06,Metz vs Lille,Ligue1,H,6.0,0.0,0,-0.0,-1000.0,0.0
2026-02-07,Spezia vs Virtus Entella,SerieB,H,2.25,0.0,0,-0.0,-1000.0,0.0
2026-02-07,Hull vs Bristol City,Championship,H,2.3,0.0,0,-0.0,-1000.0,0.0
2026-02-07,Burnley vs West Ham,EPL,H,3.3,0.0,0,-0.0,-1000.0,0.0
2026-02-07,Wrexham vs Millwall,Championship,H,2.5,0.0,0,-0.0,-1000.0,0.0
2026-02-07,Wolfsburg vs Dortmund,Bundesliga,A,1.73,0.0,1,0.0,-1000.0,0.0
2026-02-07,Frosinone vs Venezia,SerieB,H,3.5,0.0,0,-0.0,-1000.0,0.0
2026-02-07,Andorra vs Sociedad B,Segunda,A,4.33,0.0,1,0.0,-1000.0,0.0
2026-02-07,Elversberg vs Hertha,Bundesliga2,H,2.1,0.0,0,-0.0,-1000.0,0.0
2026-02-07,Genoa vs Napoli,SerieA,A,1.95,0.0,1,0.0,-1000.0,0.0
2026-02-07,Preston vs Portsmouth,Championship,H,2.32,0.0,1,0.0,-1000.0,0.0
2026-02-07,Birmingham vs Leicester,Championship,A,4.5,0.0,0,-0.0,-1000.0,0.0
2026-02-07,M'gladbach vs Leverkusen,Bundesliga,A,2.0,0.0,0,-0.0,-1000.0,0.0
2026-02-07,Nancy vs Troyes,Ligue2,A,2.1,0.0,0,-0.0,-1000.0,0.0
2026-02-07,Derby vs Ipswich,Championship,H,3.6,0.0,0,-0.0,-1000.0,0.0
2026-02-08,Karlsruhe vs Fortuna Dusseldorf,Bundesliga2,H,2.8,0.0,0,-0.0,-1000.0,0.0
2026-02-08,Le Havre vs Strasbourg,Ligue1,H,4.0,0.0,1,0.0,-1000.0,0.0
2026-02-08,Nice vs Monaco,Ligue1,H,3.1,0.0,0,-0.0,-1000.0,0.0
2026-02-09,Villarreal vs Espanol,LaLiga,H,1.7,0.0,1,0.0,-1000.0,0.0
2026-02-10,Oxford vs Norwich,Championship,H,3.1,0.0,0,-0.0,-1000.0,0.0
2026-02-10,Leicester vs Southampton,Championship,H,3.1,0.0,0,-0.0,-1000.0,0.0
2026-02-10,West Ham vs Man United,EPL,H,4.5,0.0,0,-0.0,-1000.0,0.0
2026-02-10,Venezia vs Modena,SerieB,H,1.68,0.0,0,-0.0,-1000.0,0.0
2026-02-10,Pescara vs Catanzaro,SerieB,A,2.45,0.0,1,0.0,-1000.0,0.0
2026-02-10,Virtus Entella vs Cesena,SerieB,A,2.82,0.0,0,-0.0,-1000.0,0.0
2026-02-11,Sudtirol vs Monza,SerieB,H,3.6,0.0,0,-0.0,-1000.0,0.0
2026-02-11,Bari vs Spezia,SerieB,H,3.0,0.0,0,-0.0,-1000.0,0.0
2026-02-11,Aston Villa vs Brighton,EPL,H,1.91,0.0,1,0.0,-1000.0,0.0
2026-02-13,Nurnberg vs Karlsruhe,Bundesliga2,D,4.0,0.0,0,-0.0,-1000.0,0.0
2026-02-13,Nurnberg vs Karlsruhe,Bundesliga2,A,4.2,0.0,0,-0.0,-1000.0,0.0
2026-02-13,Dortmund vs Mainz,Bundesliga,H,1.53,0.0,1,0.0,-1000.0,0.0
2026-02-13,Amiens vs Dunkerque,Ligue2,H,3.9,0.0,0,-0.0,-1000.0,0.0
2026-02-13,Pau FC vs Boulogne,Ligue2,H,1.91,0.0,0,-0.0,-1000.0,0.0
2026-02-14,Inter vs Juventus,SerieA,H,1.95,0.0,1,0.0,-1000.0,0.0
2026-02-14,Cesena vs Venezia,SerieB,H,3.75,0.0,0,-0.0,-1000.0,0.0
2026-02-14,Leverkusen vs St Pauli,Bundesliga,H,1.45,0.0,1,0.0,-1000.0,0.0
2026-02-14,Hoffenheim vs Freiburg,Bundesliga,A,4.5,0.0,0,-0.0,-1000.0,0.0
2026-02-14,Hertha vs Hannover,Bundesliga2,H,2.6,0.0,0,-0.0,-1000.0,0.0
2026-02-14,Catanzaro vs Mantova,SerieB,H,1.86,0.0,1,0.0,-1000.0,0.0
2026-02-14,Getafe vs Villarreal,LaLiga,A,2.25,0.0,0,-0.0,-1000.0,0.0
2026-02-14,Palermo vs Virtus Entella,SerieB,H,1.61,0.0,1,0.0,-1000.0,0.0
2026-02-14,Modena vs Carrarese,SerieB,A,5.25,0.0,0,-0.0,-1000.0,0.0
2026-02-14,Portsmouth vs Sheffield United,Championship,H,3.1,0.0,0,-0.0,-1000.0,0.0
2026-02-14,Ein Frankfurt vs M'gladbach,Bundesliga,H,1.95,0.0,1,0.0,-1000.0,0.0
2026-02-14,QPR vs Blackburn,Championship,H,2.15,0.0,0,-0.0,-1000.0,0.0
2026-02-14,Dresden vs Elversberg,Bundesliga2,A,2.25,0.0,1,0.0,-1000.0,0.0
2026-02-14,Dundee vs Livingston,ScottishPrem,H,2.05,0.0,0,-0.0,-1000.0,0.0
2026-02-14,Grenoble vs Reims,Ligue2,H,4.2,0.0,0,-0.0,-1000.0,0.0
2026-02-14,Hibernian vs St Mirren,ScottishPrem,H,1.81,0.0,1,0.0,-1000.0,0.0
2026-02-14,Lazio vs Atalanta,SerieA,H,3.5,0.0,0,-0.0,-1000.0,0.0
2026-02-14,Cultural Leonesa vs Zaragoza,Segunda,H,2.35,0.0,0,-0.0,-1000.0,0.0
2026-02-14,Sheffield Weds vs Millwall,Championship,H,9.0,0.0,0,-0.0,-1000.0,0.0
2026-02-14,Preston vs Watford,Championship,H,3.0,0.0,0,-0.0,-1000.0,0.0
2026-02-14,Granada vs Valladolid,Segunda,H,2.1,0.0,1,0.0,-1000.0,0.0
2026-02-15,Parma vs Verona,SerieA,H,2.3,0.0,1,0.0,-1000.0,0.0
2026-02-15,Huesca vs Ceuta,Segunda,A,3.75,0.0,0,-0.0,-1000.0,0.0
