match_date,league,home_team,away_team,outcome,p_model,odds,implied_prob,edge,EV,kelly_fraction,half_kelly,actual_result,won,profit_flat,profit_kelly,clv
2024-04-01,SerieB,Como,Sudtirol,A,0.224,5.75,0.1739,0.0608,0.288,0.0606,0.0303,H,0,-1.0,-0.0303,0.2531
2024-04-01,Championship,Birmingham,Preston,A,0.4178,3.1,0.3226,0.111,0.2951,0.1405,0.0703,H,0,-1.0,-0.0703,0.2586
2024-04-01,Championship,Swansea,QPR,H,0.4935,2.5,0.4,0.113,0.2339,0.1559,0.078,A,0,-1.0,-0.078,0.2101
2024-04-01,Championship,West Brom,Watford,H,0.5681,1.85,0.5405,0.0568,0.051,0.0599,0.03,D,0,-1.0,-0.03,0.0497
2024-04-01,Championship,Rotherham,Millwall,H,0.2764,4.33,0.2309,0.0563,0.1969,0.0591,0.0296,H,1,3.33,0.0985,0.1797
2024-04-02,EPL,Newcastle,Everton,H,0.5907,2.0,0.5,0.1156,0.1814,0.1814,0.0907,D,0,-1.0,-0.0907,0.1667
2024-04-05,Championship,Rotherham,Plymouth,H,0.3433,4.2,0.2381,0.118,0.442,0.1381,0.0691,A,0,-1.0,-0.0691,0.366
2024-04-05,Segunda,Elche,Oviedo,A,0.2649,4.5,0.2222,0.0528,0.1921,0.0549,0.0274,A,1,3.5,0.0961,0.1757
2024-04-05,Bundesliga2,Paderborn,Hertha,A,0.3305,3.4,0.2941,0.05,0.1238,0.0516,0.0258,A,1,2.4,0.0619,0.1167
2024-04-05,SerieB,Bari,Cremonese,H,0.3257,3.5,0.2857,0.0543,0.1401,0.056,0.028,A,0,-1.0,-0.028,0.1311
2024-04-05,SerieA,Salernitana,Sassuolo,H,0.3456,3.25,0.3077,0.0519,0.123,0.0547,0.0273,D,0,-1.0,-0.0273,0.116
2024-04-06,EPL,Luton,Bournemouth,H,0.3116,3.75,0.2667,0.0585,0.1686,0.0613,0.0307,H,1,2.75,0.0843,0.1558
2024-04-06,Ligue2,Rodez,Quevilly Rouen,H,0.5342,2.2,0.4545,0.1075,0.1753,0.1461,0.0731,D,0,-1.0,-0.0731,0.1616
