team,elo_rating,matches_played,last_match_date,confederation
Rhodes,1567.88,18,2011-06-27,Other / Non-FIFA
Réunion,1565.65,124,2023-09-02,Other / Non-FIFA
Kárpátalja,1565.62,11,2018-06-09,Other / Non-FIFA
County of Nice,1564.91,9,2015-06-21,Other / Non-FIFA
Belarus,1562.16,315,2026-06-09,UEFA
New Caledonia,1559.99,265,2026-03-26,OFC
Qatar,1559.95,638,2026-06-24,AFC
Tamil Eelam,1558.37,28,2025-07-04,Other / Non-FIFA
Ellan Vannin,1557.78,22,2018-06-03,Other / Non-FIFA
Corsica,1556.56,9,2017-05-26,Other / Non-FIFA
Yorkshire,1554.07,7,2019-06-01,Other / Non-FIFA
Syria,1550.54,484,2026-06-05,AFC
Panjab,1549.66,19,2019-12-29,Other / Non-FIFA
Suriname,1548.69,399,2026-03-26,CONCACAF
Kurdistan,1547.1,5,2013-06-28,Other / Non-FIFA
Artsakh,1543.53,11,2019-06-08,Other / Non-FIFA
China,1542.94,702,2026-06-09,AFC
Curaçao,1541.24,388,2026-06-25,CONCACAF
Guinea,1540.75,539,2026-06-04,CAF
Menorca,1538.01,25,2023-07-13,Other / Non-FIFA
Montenegro,1537.63,170,2026-06-05,UEFA
Palestine,1536.57,249,2026-06-09,AFC
Galicia,1536.45,12,2024-05-21,Other / Non-FIFA
Arameans Suryoye,1533.09,10,2014-06-08,Other / Non-FIFA
Thailand,1532.76,865,2026-06-09,AFC
Cascadia,1531.56,7,2019-05-25,Other / Non-FIFA
Libya,1528.17,384,2026-03-31,CAF
Bahrain,1527.51,584,2026-06-05,AFC
Bulgaria,1526.88,736,2026-06-05,UEFA
Zambia,1526.14,793,2026-03-31,CAF
Maule Sur,1524.96,2,2022-06-19,Other / Non-FIFA
Chameria,1524.3,7,2023-07-01,Other / Non-FIFA
Elba Island,1518.37,2,2022-07-16,Other / Non-FIFA
Asturias,1518.17,1,1923-02-25,Other / Non-FIFA
Brittany,1515.71,12,2013-05-28,Other / Non-FIFA
Quebec,1515.31,3,2013-06-27,Other / Non-FIFA
Canary Islands,1515.28,4,2007-12-29,Other / Non-FIFA
Surrey,1515.06,1,2018-05-06,Other / Non-FIFA
Parishes of Jersey,1514.05,3,2019-06-02,Other / Non-FIFA
Biafra,1513.53,3,2022-05-25,Other / Non-FIFA
Tahiti,1512.8,242,2025-03-21,OFC
Trinidad and Tobago,1512.43,753,2026-06-09,CONCACAF
Donetsk PR,1510.2,6,2017-08-31,Other / Non-FIFA
Benin,1509.2,325,2026-06-09,CAF
Gambia,1507.81,266,2026-05-29,CAF
Silesia,1507.06,8,2006-12-09,Other / Non-FIFA
Guadeloupe,1505.01,271,2025-06-24,Other / Non-FIFA
Crimea,1504.68,5,2006-11-25,Other / Non-FIFA
Felvidék,1503.24,12,2017-06-09,Other / Non-FIFA
Gabon,1503.04,405,2026-03-30,CAF
United Koreans in Japan,1502.88,12,2018-06-09,Other / Non-FIFA
Mapuche,1502.31,2,2022-06-18,Other / Non-FIFA
Indonesia,1502.03,728,2026-06-09,AFC
Sealand,1501.05,12,2014-08-10,Other / Non-FIFA
Zanzibar,1500.05,209,2025-01-13,Other / Non-FIFA
Franconia,1498.52,3,2019-06-25,Other / Non-FIFA
Central Spain,1498.42,2,1923-11-25,Other / Non-FIFA
Délvidék,1498.23,2,2016-08-03,Other / Non-FIFA
Saugeais,1496.94,1,2013-06-29,Other / Non-FIFA
Malaysia,1495.66,835,2025-11-18,AFC
Western Armenia,1493.99,16,2019-06-09,Other / Non-FIFA
Matabeleland,1493.85,8,2022-05-25,Other / Non-FIFA
Uganda,1490.26,685,2025-12-30,CAF
